agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd
USGS,3171000,108,1950-10-01,,Yes,SGA/CHH,USGS,2.02,1560,Good,,,Clear,NONE
USGS,3171000,109,1950-12-05,,Yes,CHH/SGA,USGS,4.35,11000,Good,,,Clear,NONE
USGS,3171000,110,1950-12-08,,Yes,HAN/AND,USGS,10.56,33600,Good,-0.97,1.9,,NONE
USGS,3171000,111,1951-01-05,,Yes,CHH,USGS,3.11,5680,Poor,,,Clear,NONE
USGS,3171000,112,1951-03-02,,Yes,BLJ/CHH,USGS,3.41,6950,Fair,,,Clear,NONE
USGS,3171000,113,1951-04-18,,Yes,CHH/BLJ,USGS,4.17,10800,Fair,,,Clear,NONE
USGS,3171000,114,1951-05-23,,Yes,CHH/BLJ,USGS,3.64,7620,Fair,,,Clear,NONE
USGS,3171000,115,1951-06-21,,Yes,SGA/BLJ,USGS,3.09,5290,Good,,,Clear,NONE
USGS,3171000,116,1951-07-11,,Yes,CHH/BLJ,USGS,2.94,4320,Good,,,Clear,NONE
USGS,3171000,117,1951-09-25,,Yes,CHH/BLJ,USGS,1.97,1480,Good,,,Clear,NONE
USGS,3171000,118,1951-10-05,,Yes,CHH,USGS,2.03,1550,Good,,,Clear,NONE
USGS,3171000,119,1951-11-06,,Yes,SGA/CHH,USGS,1.84,1220,Fair,,,Clear,NONE
USGS,3171000,120,1952-03-07,,Yes,BLJ/SGA,USGS,3.88,8880,Fair,,,Clear,NONE
USGS,3171000,121,1952-04-08,,Yes,SGA/BLJ,USGS,4.06,10500,Poor,,,Clear,NONE
USGS,3171000,122,1952-05-16,,Yes,BLJ/SGA,USGS,2.81,3920,Poor,,,Clear,NONE
USGS,3171000,123,1952-09-25,,Yes,SGA/CHH,USGS,1.62,761,Fair,,,,NONE
USGS,3171000,124,1952-10-30,,Yes,SGA/CHH,USGS,1.49,517,Fair,,,Clear,NONE
USGS,3171000,125,1952-12-17,,Yes,CHH/SGA,USGS,2.6,3030,Fair,,,Clear,NONE
USGS,3171000,126,1953-02-23,,Yes,CHH,USGS,4.64,10600,Fair,,,Clear,NONE
USGS,3171000,127,1953-04-25,,Yes,SGA/CHH,USGS,3.01,4590,Good,,,Clear,NONE
USGS,3171000,128,1953-08-19,,Yes,CHH,USGS,1.97,1320,Fair,,,Clear,NONE
USGS,3171000,129,1953-09-07,,Yes,CHH/SGA,USGS,2.12,1730,Good,,,Clear,NONE
USGS,3171000,130,1953-10-30,,Yes,CHH/SGA,USGS,2.08,1670,Good,,,Clear,NONE
USGS,3171000,131,1954-02-23,,Yes,SGA/CHH,USGS,4.32,10300,Good,,,,NONE
USGS,3171000,132,1954-03-03,,Yes,BLJ/SGA,USGS,3.6,7250,Fair,,,Clear,NONE
USGS,3171000,133,1954-07-23,,Yes,SGA/WGB,USGS,2.02,1520,Good,,,Clear,NONE
USGS,3171000,134,1954-07-23,,Yes,SGA/WGB,USGS,3.63,7710,Good,,,Clear,NONE
USGS,3171000,135,1954-10-11,,Yes,WGB/SGA,USGS,1.96,1360,Good,,,Clear,NONE
USGS,3171000,136,1954-12-07,,Yes,WEH/SGA,USGS,3.85,8860,Fair,,,Clear,NONE
USGS,3171000,137,1955-04-14,,Yes,WEH/AND,USGS,8.84,27600,Good,1.04,1.6,,NONE
USGS,3171000,138,1955-07-13,,Yes,WEH/SGA,USGS,4.58,11300,Fair,,,Clear,NONE
USGS,3171000,139,1955-09-22,,Yes,WGB/WEH,USGS,1.86,1210,Good,,,Clear,NONE
USGS,3171000,140,1955-10-04,,Yes,WGB/WEH,USGS,1.73,854,Good,,,Clear,NONE
USGS,3171000,141,1956-01-04,,Yes,SGA/WEH,USGS,1.83,1110,Good,,,Clear,NONE
USGS,3171000,142,1956-05-03,,Yes,WGB/WEH,USGS,4.53,11900,Good,,,Clear,NONE
USGS,3171000,143,1956-08-06,,Yes,WEH/SGA,USGS,1.85,1100,Fair,,,VegetationLight,NONE
USGS,3171000,144,1956-10-02,,Yes,WGB/WEH,USGS,2,1380,Fair,,,Clear,NONE
USGS,3171000,145,1957-03-05,,Yes,WEH/SGA,USGS,4.22,10500,Good,,,Clear,NONE
USGS,3171000,146,1957-04-05,,Yes,BON,USGS,15.25,56700,Good,0.35,1.6,,NONE
USGS,3171000,147,1957-08-08,,Yes,WGB/WEH,USGS,1.91,1270,Good,,,Clear,NONE
USGS,3171000,148,1957-10-03,,Yes,WEH/HDW,USGS,4.08,9820,Good,,,Clear,NONE
USGS,3171000,149,1957-12-06,,Yes,WEH/HDW,USGS,1.82,1100,Good,,,Clear,NONE
USGS,3171000,150,1957-12-06,,Yes,WEH/HDW,USGS,1.82,1080,Good,,,Clear,NONE
USGS,3171000,151,1957-12-06,,Yes,WEH/HDW,USGS,1.82,1050,Good,,,Clear,NONE
USGS,3171000,152,1958-03-31,,Yes,WEH/HDW,USGS,5.13,14200,Good,-0.01,1.3,,NONE
USGS,3171000,153,1958-06-25,,Yes,HDW/WEH,USGS,3.68,7610,Fair,,,Clear,NONE
USGS,3171000,154,1958-07-15,,Yes,WEH/HDW,USGS,1.94,1230,Fair,,,Clear,NONE
USGS,3171000,155,1958-10-09,,Yes,WEH/HDW,USGS,1.63,758,Fair,,,Clear,NONE
USGS,3171000,156,1959-03-16,,Yes,WEH/HDW,USGS,4.03,9690,Good,,,Clear,NONE
USGS,3171000,157,1959-07-09,,Yes,WEH/HDW,USGS,1.66,826,Fair,,,Clear,NONE
USGS,3171000,158,1959-10-13,,Yes,WEH/HDW,USGS,1.87,1140,Good,,,Clear,NONE
USGS,3171000,159,1960-01-28,,Yes,HDW/SGA,USGS,3.87,8950,Good,,,Clear,NONE
USGS,3171000,160,1960-03-31,,Yes,WEH,USGS,11.55,36300,Fair,-0.2,1.3,,NONE
USGS,3171000,161,1960-06-06,,Yes,WEH/HDW,USGS,1.82,961,Good,,,Clear,NONE
USGS,3171000,162,1960-08-18,,Yes,HDW/WEH,USGS,4.12,9860,Good,,,Clear,NONE
USGS,3171000,163,1960-10-07,,Yes,WEH,USGS,1.66,656,Good,,,Clear,NONE
USGS,3171000,164,1960-10-07,,Yes,WEH,USGS,1.66,630,Good,,,Clear,NONE
USGS,3171000,165,1960-11-21,,Yes,WEH,USGS,1.72,701,Fair,,,Clear,NONE
USGS,3171000,166,1960-11-21,,Yes,WEH,USGS,1.72,745,Good,,,Clear,NONE
USGS,3171000,167,1961-02-27,,Yes,WEH/SGA,USGS,4.7,11700,Good,,,Clear,NONE
USGS,3171000,168,1961-02-27,,Yes,WEH/SGA,USGS,4.7,11300,Good,,,Clear,NONE
USGS,3171000,169,1961-06-07,,Yes,HDW,USGS,1.85,1000,Good,,,Clear,NONE
USGS,3171000,170,1961-10-12,,Yes,WEH/HDW,USGS,3.25,5670,Fair,,,Clear,NONE
USGS,3171000,171,1962-01-24,,Yes,SGA/JWT,USGS,2.04,1560,Good,,,Clear,NONE
USGS,3171000,172,1962-01-24,,Yes,SGA/JWT,USGS,4.13,10200,Good,,,Clear,NONE
USGS,3171000,173,1962-06-07,,Yes,HDW,USGS,1.9,1030,Good,,,Clear,NONE
USGS,3171000,174,1962-06-07,,Yes,HDW,USGS,1.9,945,Good,,,Clear,NONE
USGS,3171000,175,1962-10-24,,Yes,WEH,USGS,1.86,890,Good,,,VegetationLight,NONE
USGS,3171000,176,1962-10-24,,Yes,WEH,USGS,1.86,892,Good,,,VegetationLight,NONE
USGS,3171000,177,1963-03-27,,Yes,WEH/HDW,USGS,4.1,9140,Good,,,Clear,NONE
USGS,3171000,178,1963-05-21,,Yes,HDW,USGS,1.71,745,Good,,,Clear,NONE
USGS,3171000,179,1963-05-21,,Yes,HDW,USGS,1.71,714,Good,,,Clear,NONE
USGS,3171000,180,1963-12-09,,Yes,HDW,USGS,1.8,945,Good,,,Clear,NONE
USGS,3171000,181,1963-12-09,,Yes,HDW,USGS,1.8,962,Good,,,Clear,NONE
USGS,3171000,182,1964-04-13,,Yes,WEH/HDW,USGS,3.75,7920,Good,,,Clear,NONE
USGS,3171000,183,1964-08-12,,Yes,HDW,USGS,1.66,670,Fair,,,Clear,NONE
USGS,3171000,184,1964-08-12,,Yes,HDW,USGS,1.66,649,Fair,,,Clear,NONE
USGS,3171000,185,1964-10-12,,Yes,HDW/CRB,USGS,2.71,3160,Fair,,,Clear,NONE
USGS,3171000,186,1965-02-11,,Yes,WEH/HDW,USGS,4.3,9900,Good,,,Clear,NONE
USGS,3171000,187,1965-07-12,,Yes,HDW/CRB,USGS,4.28,9530,Good,,,Clear,NONE
USGS,3171000,188,1965-10-12,,Yes,HDW,USGS,1.7,740,Fair,,,Clear,NONE
USGS,3171000,189,1965-10-12,,Yes,HDW,USGS,1.7,675,Good,,,Clear,NONE
USGS,3171000,190,1966-03-02,,Yes,CRB/HDW,USGS,3.98,8980,Good,,,Clear,NONE
USGS,3171000,191,1966-03-02,,Yes,CRB/HDW,USGS,4.04,9300,Good,,,Clear,NONE
USGS,3171000,192,1966-05-31,,Yes,WEH,USGS,1.86,1050,Good,,,Clear,NONE
USGS,3171000,193,1966-05-31,,Yes,WEH,USGS,1.86,950,Good,,,Clear,NONE
USGS,3171000,194,1966-08-17,,Yes,WEH/JMG,USGS,3.8,8150,Good,,,Clear,NONE
USGS,3171000,195,1966-08-17,,Yes,WEH/JMG,USGS,3.86,7880,Good,,,Clear,NONE
USGS,3171000,196,1966-10-25,,Yes,HDW/WEH,USGS,2.01,1440,Good,,,Clear,NONE
USGS,3171000,197,1967-01-04,,Yes,HDW/JMG,USGS,3.92,8370,Good,,,Clear,NONE
USGS,3171000,198,1967-04-27,,Yes,HDW/JMG,USGS,3.94,8120,Good,,,Clear,NONE
USGS,3171000,199,1967-08-21,,Yes,WEH/JMG,USGS,1.82,976,Good,,,Clear,NONE
USGS,3171000,200,1967-08-21,,Yes,WEH/JMG,USGS,1.82,1220,Good,,,Clear,NONE
USGS,3171000,201,1967-10-23,,Yes,WEH,USGS,1.7,690,Good,,,Clear,NONE
USGS,3171000,202,1967-10-23,,Yes,WEH,USGS,1.7,676,Good,,,Clear,NONE
USGS,3171000,203,1968-01-31,,Yes,HDW/JMG,USGS,4.64,11600,Good,,,Clear,NONE
USGS,3171000,204,1968-04-18,,Yes,HDW/WEH,USGS,3.61,7010,Fair,,,Clear,NONE
USGS,3171000,205,1968-07-01,,Yes,WEH/HDW,USGS,1.7,755,Good,,,Clear,NONE
USGS,3171000,206,1968-07-01,,Yes,WEH/HDW,USGS,1.7,744,Good,,,Clear,NONE
USGS,3171000,207,1968-10-14,,Yes,HDW,USGS,1.66,785,Fair,,,Clear,NONE
USGS,3171000,208,1968-10-14,,Yes,HDW,USGS,1.66,719,Good,,,Clear,NONE
USGS,3171000,209,1969-01-22,,Yes,HDW/JMG,USGS,3.77,7380,Good,,,Clear,NONE
USGS,3171000,210,1969-05-01,,Yes,HDW/JMG,USGS,3.72,7590,Good,,,Clear,NONE
USGS,3171000,211,1969-10-02,,Yes,JMG/WEH,USGS,2.1,1670,Fair,,,Clear,NONE
USGS,3171000,212,1970-01-29,,Yes,HDW/JMG,USGS,3.37,6660,Good,,,Clear,NONE
USGS,3171000,213,1970-04-24,,Yes,JMG/HDW,USGS,3.17,5500,Good,,,Clear,NONE
USGS,3171000,214,1970-10-13,,Yes,JMG,USGS,1.66,702,Good,,,Clear,NONE
USGS,3171000,215,1970-10-13,,Yes,JMG,USGS,1.66,686,Good,,,Clear,NONE
USGS,3171000,216,1971-01-13,,Yes,HDW/JMG,USGS,3.33,6540,Good,,,Clear,NONE
USGS,3171000,217,1971-03-31,,Yes,WEH/JMG,USGS,3.46,7070,Good,,,Clear,NONE
USGS,3171000,218,1971-10-21,,Yes,WEH/JMG,USGS,3.6,6770,Good,,,Clear,NONE
USGS,3171000,219,1972-01-12,,Yes,WEH/HDW,USGS,3.8,7470,Good,,,Clear,NONE
USGS,3171000,220,1972-04-11,,Yes,HDW/JMG,USGS,3.99,8350,Good,,,Clear,NONE
USGS,3171000,221,1972-10-11,,Yes,HDW/WEH,USGS,3.84,7630,Good,,,Clear,NONE
USGS,3171000,222,1973-01-17,,Yes,WEH/JMG,USGS,3.66,7620,Good,,,Clear,NONE
USGS,3171000,223,1973-05-21,,Yes,HDW/JMG,USGS,3.48,6600,Good,,,Clear,NONE
